Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628,0.9066610437506628
0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215,0.893507156766215
0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302,0.8801775384467302
0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723,0.8664964574571723
0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038,0.8522881824625038
0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885,0.8373769821276885
0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894,0.8215871251176894
0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697,0.8047428800974697
0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927,0.7866685157319927
0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219,0.7671883006862219
0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038,0.7462528009112038
0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215,0.7243177715023215
0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104,0.70196526484104
0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826,0.679777333308826
0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454,0.6583360292871454
0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643,0.6382234051574643
0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484,0.6200215133012484
0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642,0.6043124060999642
0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773,0.5916781359350773
0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632,0.5825760735395632
0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331,0.5769648630524331
0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074,0.5746784669642074
0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068,0.5755508477654068
0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516,0.5794159679465516
0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624,0.5861077899981624
0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596,0.5954602764107596
0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638,0.6073073896748638
0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952,0.6214830922809952
0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803,0.6377895645736803
0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684,0.6559018583134684
0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148,0.6754632431149148
